,ingredient_id,recipe_id,ingredient_name,original_ingredient_amount,original_ingredient_unit,ingredient_remainder,recipe_source,new_ingredient_amount,new_ingredient_unit,common_ingredient_name,ingredient_category,default_unit
2601,A007_00,A007,dried rice noodles,12.0,ounces,,allrecipes,12.0,ounce,rice noodle,noodle / spaghetti,ounce
2602,A007_01,A007,white sugar,0.5,cup,,allrecipes,8.0,tablespoon,white sugar,sugar / sweeteners / syrup,tablespoon
2603,A007_02,A007,distilled white vinegar,0.5,cup,,allrecipes,8.0,tablespoon,vinegar,vinegar,tablespoon
2604,A007_03,A007,fish sauce,0.25,cup,,allrecipes,4.0,tablespoon,fish sauce,sauce / salt,tablespoon
2605,A007_04,A007,tamarind paste,2.0,tablespoons,,allrecipes,2.0,tablespoon,tamarind concentrate / tamarind paste / tamarind juice,herbs,tablespoon
2606,A007_05,A007,"vegetable oil, divided",2.0,tablespoons,,allrecipes,2.0,tablespoon,vegetable oil,oil,tablespoon
2607,A007_06,A007,"boneless, skinless chicken breast halves, sliced into thin strips",2.0,,,allrecipes,16.0,ounce,chicken breast,meat,ounce
2608,A007_07,A007,"garlic, minced",1.5,teaspoons,,allrecipes,1.5,clove,garlic,herbs,clove
2609,A007_08,A007,"eggs, beaten",4.0,large,,allrecipes,4.0,unit,egg,egg,unit
2610,A007_09,A007,white sugar,1.5,tablespoons,,allrecipes,1.5,tablespoon,white sugar,sugar / sweeteners / syrup,tablespoon
2611,A007_10,A007,salt,1.5,teaspoons,,allrecipes,0.4999999995,tablespoon,salt,sauce / salt,tablespoon
2612,A007_11,A007,coarsely ground peanuts,1.0,cup,,allrecipes,16.0,tablespoon,peanut,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
2613,A007_12,A007,bean sprouts,2.0,cups,,allrecipes,2.0,cup,bean sprout,vegetable,cup
2614,A007_13,A007,chopped fresh chives,0.5,cup,,allrecipes,0.5,cup,chinese chive,vegetable,cup
2615,A007_14,A007,"paprika, or to taste",1.0,tablespoon,,allrecipes,3.0,teaspoon,paprika,chili / pepper,teaspoon
2616,A007_15,A007,"lime, cut into wedges",1.0,medium,,allrecipes,1.0,unit,lime wedge,lime / lemon,unit
2617,A008_00,A008,dried rice vermicelli,0.6666666666666666,cup,,allrecipes,2.666666667,ounce,rice vermicelli,noodle / spaghetti,ounce
2618,A008_01,A008,peanut oil,0.25,cup,,allrecipes,4.0,tablespoon,peanut oil,oil,tablespoon
2619,A008_02,A008,thinly sliced firm tofu,0.6666666666666666,cup,,allrecipes,5.333333333,ounce,firm tofu,tofu,ounce
2620,A008_03,A008,"large egg, beaten",1.0,,,allrecipes,1.0,unit,egg,egg,unit
2621,A008_04,A008,"garlic, finely chopped",4.0,cloves,,allrecipes,4.0,clove,garlic,herbs,clove
2622,A008_05,A008,vegetable broth,0.25,cup,,allrecipes,0.25,cup,vegetable broth,broth / stock,cup
2623,A008_06,A008,fresh lime juice,2.0,tablespoons,,allrecipes,2.0,tablespoon,lime juice,lime / lemon,tablespoon
2624,A008_07,A008,soy sauce,2.0,tablespoons,,allrecipes,2.0,tablespoon,soy sauce,sauce / salt,tablespoon
